,Entity,Year,Coal Consumption - EJ,Gas Consumption - EJ,Geo Biomass Other - TWh,Hydro Generation - TWh,Nuclear Generation - TWh,Solar Generation - TWh,Wind Generation -TWh,Oil Consumption - EJ
45,Africa,2010,4,3,3,107,13,0,2,7
46,Africa,2011,4,3,3,110,12,0,2,6
47,Africa,2012,4,4,4,110,12,0,2,7
48,Africa,2013,4,4,4,117,14,0,3,7
49,Africa,2014,4,4,5,123,13,1,5,7
50,Africa,2015,4,4,7,119,12,3,8,7
51,Africa,2016,4,4,7,115,15,4,11,7
52,Africa,2017,4,5,7,123,15,6,12,7
53,Africa,2018,4,5,8,130,11,9,14,8
54,Africa,2019,4,5,8,132,14,19,17,8
55,Algeria,1965,0,0,0,0,0,0,0,0
56,Algeria,1966,0,0,0,0,0,0,0,0
57,Algeria,1967,0,0,0,0,0,0,0,0
58,Algeria,1968,0,0,0,0,0,0,0,0
59,Algeria,1969,0,0,0,0,0,0,0,0
60,Algeria,1970,0,0,0,0,0,0,0,0
61,Algeria,1971,0,0,0,0,0,0,0,0
62,Algeria,1972,0,0,0,0,0,0,0,0
63,Algeria,1973,0,0,0,0,0,0,0,0
64,Algeria,1974,0,0,0,0,0,0,0,0
65,Algeria,1975,0,0,0,0,0,0,0,0
66,Algeria,1976,0,0,0,0,0,0,0,0
67,Algeria,1977,0,0,0,0,0,0,0,0
68,Algeria,1978,0,0,0,0,0,0,0,0
69,Algeria,1979,0,0,0,0,0,0,0,0
70,Algeria,1980,0,0,0,0,0,0,0,0
71,Algeria,1981,0,0,0,0,0,0,0,0
72,Algeria,1982,0,0,0,0,0,0,0,0
73,Algeria,1983,0,0,0,0,0,0,0,0
74,Algeria,1984,0,0,0,0,0,0,0,0
75,Algeria,1985,0,0,0,0,0,0,0,0
76,Algeria,1986,0,0,0,0,0,0,0,0
77,Algeria,1987,0,0,0,0,0,0,0,0
78,Algeria,1988,0,0,0,0,0,0,0,0
79,Algeria,1989,0,0,0,0,0,0,0,0
80,Algeria,1990,0,0,0,0,0,0,0,0
81,Algeria,1991,0,0,0,0,0,0,0,0
82,Algeria,1992,0,0,0,0,0,0,0,0
83,Algeria,1993,0,0,0,0,0,0,0,0
84,Algeria,1994,0,0,0,0,0,0,0,0
85,Algeria,1995,0,0,0,0,0,0,0,0
86,Algeria,1996,0,0,0,0,0,0,0,0
87,Algeria,1997,0,0,0,0,0,0,0,0
88,Algeria,1998,0,0,0,0,0,0,0,0
89,Algeria,1999,0,0,0,0,0,0,0,0
90,Algeria,2000,0,0,0,0,0,0,0,0
91,Algeria,2001,0,0,0,0,0,0,0,0
92,Algeria,2002,0,0,0,0,0,0,0,0
93,Algeria,2003,0,0,0,0,0,0,0,0
94,Algeria,2004,0,0,0,0,0,0,0,0
95,Algeria,2005,0,0,0,0,0,0,0,0
96,Algeria,2006,0,0,0,0,0,0,0,0
97,Algeria,2007,0,0,0,0,0,0,0,0
98,Algeria,2008,0,0,0,0,0,0,0,0
99,Algeria,2009,0,0,0,0,0,0,0,0
100,Algeria,2010,0,0,0,0,0,0,0,0
101,Algeria,2011,0,0,0,0,0,0,0,0
102,Algeria,2012,0,1,0,0,0,0,0,0
103,Algeria,2013,0,1,0,0,0,0,0,0
104,Algeria,2014,0,1,0,0,0,0,0,0
105,Algeria,2015,0,1,0,0,0,0,0,0
106,Algeria,2016,0,1,0,0,0,0,0,0
107,Algeria,2017,0,1,0,0,0,0,0,0
108,Algeria,2018,0,1,0,0,0,0,0,0
109,Algeria,2019,0,1,0,0,0,0,0,0
110,Argentina,1965,0,0,0,1,0,0,0,0
111,Argentina,1966,0,0,0,1,0,0,0,0
112,Argentina,1967,0,0,0,1,0,0,0,0
113,Argentina,1968,0,0,0,1,0,0,0,1
114,Argentina,1969,0,0,0,1,0,0,0,1
115,Argentina,1970,0,0,0,1,0,0,0,0
116,Argentina,1971,0,0,0,1,0,0,0,1
117,Argentina,1972,0,0,0,1,0,0,0,1
118,Argentina,1973,0,0,0,2,0,0,0,1
119,Argentina,1974,0,0,0,5,1,0,0,1
120,Argentina,1975,0,0,0,5,2,0,0,0
121,Argentina,1976,0,0,0,5,2,0,0,0
122,Argentina,1977,0,0,0,5,1,0,0,1
123,Argentina,1978,0,0,0,7,2,0,0,1
124,Argentina,1979,0,0,0,10,2,0,0,1
125,Argentina,1980,0,0,0,15,2,0,0,1
126,Argentina,1981,0,0,0,14,2,0,0,0
127,Argentina,1982,0,0,0,17,1,0,0,0
128,Argentina,1983,0,0,0,18,3,0,0,0
129,Argentina,1984,0,0,0,19,4,0,0,0
130,Argentina,1985,0,0,0,20,5,0,0,0
131,Argentina,1986,0,0,0,21,5,0,0,0
132,Argentina,1987,0,0,0,21,6,0,0,0
133,Argentina,1988,0,0,0,15,5,0,0,0
134,Argentina,1989,0,0,0,12,5,0,0,0
135,Argentina,1990,0,0,0,17,7,0,0,0
136,Argentina,1991,0,0,0,16,7,0,0,0
137,Argentina,1992,0,0,0,19,7,0,0,0
138,Argentina,1993,0,0,0,23,7,0,0,0
139,Argentina,1994,0,0,0,27,8,0,0,0
140,Argentina,1995,0,0,0,28,7,0,0,0
141,Argentina,1996,0,1,0,25,7,0,0,0
142,Argentina,1997,0,0,0,33,7,0,0,0
143,Argentina,1998,0,1,0,32,7,0,0,0
144,Argentina,1999,0,1,0,26,7,0,0,0
145,Argentina,2000,0,1,0,34,6,0,0,0
146,Argentina,2001,0,1,0,41,7,0,0,0
147,Argentina,2002,0,1,0,41,5,0,0,0
148,Argentina,2003,0,1,1,39,7,0,0,0
149,Argentina,2004,0,1,0,35,7,0,0,0
150,Argentina,2005,0,1,1,39,6,0,0,0
151,Argentina,2006,0,1,1,43,7,0,0,0
152,Argentina,2007,0,1,1,37,7,0,0,1
153,Argentina,2008,0,1,1,37,7,0,0,1
154,Argentina,2009,0,1,1,40,8,0,0,1
155,Argentina,2010,0,1,2,40,7,0,0,1
156,Argentina,2011,0,1,2,39,6,0,0,1
157,Argentina,2012,0,1,2,36,6,0,0,1
158,Argentina,2013,0,1,2,40,6,0,0,1
159,Argentina,2014,0,1,2,40,5,0,0,1
160,Argentina,2015,0,1,2,41,7,0,0,1
161,Argentina,2016,0,1,1,38,8,0,0,1
162,Argentina,2017,0,1,2,41,6,0,0,1
163,Argentina,2018,0,1,2,41,6,0,1,1
164,Argentina,2019,0,1,2,37,8,0,4,1
165,Asia Pacific,1965,10,0,1,156,0,0,0,6
166,Asia Pacific,1966,10,0,1,162,0,0,0,7
167,Asia Pacific,1967,10,0,1,152,0,0,0,9
168,Asia Pacific,1968,10,0,1,168,1,0,0,10
169,Asia Pacific,1969,11,0,1,174,1,0,0,12
170,Asia Pacific,1970,13,0,1,180,5,0,0,14
171,Asia Pacific,1971,13,0,1,199,9,0,0,15
172,Asia Pacific,1972,14,0,1,205,10,0,0,16
173,Asia Pacific,1973,14,0,1,194,12,0,0,19
174,Asia Pacific,1974,15,1,2,217,22,0,0,19
175,Asia Pacific,1975,16,1,2,232,27,0,0,19
176,Asia Pacific,1976,16,1,2,233,37,0,0,20
177,Asia Pacific,1977,17,1,2,227,34,0,0,21
178,Asia Pacific,1978,18,2,2,237,66,0,0,22
179,Asia Pacific,1979,19,2,3,256,82,0,0,23
180,Asia Pacific,1980,20,2,5,273,96,0,0,22
181,Asia Pacific,1981,21,2,7,289,104,0,0,21
182,Asia Pacific,1982,22,2,15,282,121,0,0,20
183,Asia Pacific,1983,23,3,18,299,145,0,0,21
184,Asia Pacific,1984,25,3,19,299,175,0,0,21
185,Asia Pacific,1985,27,3,20,320,209,0,0,21
186,Asia Pacific,1986,28,4,21,328,226,0,0,22
187,Asia Pacific,1987,30,4,22,326,266,0,0,23
188,Asia Pacific,1988,32,4,23,361,250,0,0,25
189,Asia Pacific,1989,34,5,26,388,265,0,0,26
190,Asia Pacific,1990,35,5,22,399,287,0,0,28
191,Asia Pacific,1991,36,6,22,410,306,0,0,29
192,Asia Pacific,1992,37,6,23,401,314,0,0,31
193,Asia Pacific,1993,39,6,22,440,348,0,0,33
194,Asia Pacific,1994,41,7,26,443,372,0,0,35
195,Asia Pacific,1995,42,7,30,483,410,0,1,37
196,Asia Pacific,1996,44,8,31,473,431,0,0,39
197,Asia Pacific,1997,44,9,34,475,459,0,1,40
198,Asia Pacific,1998,44,9,37,506,478,0,1,40
199,Asia Pacific,1999,46,9,41,500,486,0,2,41
200,Asia Pacific,2000,48,10,44,521,500,0,2,43
201,Asia Pacific,2001,50,11,45,570,506,0,3,43
202,Asia Pacific,2002,54,11,47,578,519,0,4,44
203,Asia Pacific,2003,61,12,49,594,462,1,5,46
204,Asia Pacific,2004,69,13,53,699,530,1,9,49
205,Asia Pacific,2005,79,14,60,727,553,1,12,49
206,Asia Pacific,2006,85,15,64,801,567,2,18,50
207,Asia Pacific,2007,92,17,71,852,544,2,24,52
208,Asia Pacific,2008,94,18,79,997,528,3,36,52
209,Asia Pacific,2009,97,18,87,968,553,4,54,52
210,Asia Pacific,2010,102,20,98,1097,582,6,81,55
211,Asia Pacific,2011,109,22,104,1117,483,12,113,57
212,Asia Pacific,2012,112,23,112,1261,342,17,147,60
213,Asia Pacific,2013,115,24,124,1385,346,32,188,61
214,Asia Pacific,2014,115,25,140,1521,371,63,214,62
215,Asia Pacific,2015,115,25,159,1565,419,95,243,64
216,Asia Pacific,2016,114,26,160,1622,467,141,312,66
217,Asia Pacific,2017,116,27,185,1671,493,219,388,68
218,Asia Pacific,2018,119,29,208,1710,554,313,463,70
219,Asia Pacific,2019,122,31,238,1783,647,393,514,71
220,Australia,1965,0,0,0,7,0,0,0,0
221,Australia,1966,0,0,0,7,0,0,0,0
222,Australia,1967,0,0,0,7,0,0,0,0
223,Australia,1968,0,0,0,7,0,0,0,0
224,Australia,1969,0,0,0,8,0,0,0,0
225,Australia,1970,0,0,0,10,0,0,0,1
226,Australia,1971,0,0,0,11,0,0,0,1
227,Australia,1972,0,0,0,11,0,0,0,1
228,Australia,1973,0,0,0,12,0,0,0,1
229,Australia,1974,0,0,0,13,0,0,0,1
230,Australia,1975,0,0,0,14,0,0,0,1
231,Australia,1976,1,0,0,14,0,0,0,1
232,Australia,1977,1,0,0,13,0,0,0,1
233,Australia,1978,1,0,0,14,0,0,0,1
234,Australia,1979,1,0,0,14,0,0,0,1
235,Australia,1980,1,0,0,13,0,0,0,1
236,Australia,1981,1,0,0,13,0,0,0,1
237,Australia,1982,1,0,0,12,0,0,0,1
238,Australia,1983,1,0,0,12,0,0,0,1
239,Australia,1984,1,0,0,13,0,0,0,1
240,Australia,1985,1,0,0,13,0,0,0,1
241,Australia,1986,1,0,0,14,0,0,0,1
242,Australia,1987,1,0,0,13,0,0,0,1
243,Australia,1988,1,0,0,14,0,0,0,1
244,Australia,1989,1,0,0,14,0,0,0,1
245,Australia,1990,1,0,0,14,0,0,0,1
246,Australia,1991,1,0,0,15,0,0,0,1
247,Australia,1992,1,0,0,15,0,0,0,1
248,Australia,1993,1,0,0,16,0,0,0,1
249,Australia,1994,1,0,0,16,0,0,0,1
250,Australia,1995,1,0,0,15,0,0,0,1
251,Australia,1996,1,0,0,15,0,0,0,1
252,Australia,1997,1,0,0,15,0,0,0,1
253,Australia,1998,1,0,1,15,0,0,0,1
254,Australia,1999,2,0,1,16,0,0,0,1
255,Australia,2000,2,0,0,16,0,0,0,1
256,Australia,2001,2,0,0,16,0,0,0,1
257,Australia,2002,2,0,1,16,0,0,0,1
258,Australia,2003,2,0,1,16,0,0,0,1
259,Australia,2004,2,0,2,15,0,0,0,1
260,Australia,2005,2,0,3,15,0,0,1,1
261,Australia,2006,2,0,3,14,0,0,2,1
262,Australia,2007,2,1,4,13,0,0,2,1
263,Australia,2008,2,1,3,11,0,0,3,1
264,Australia,2009,2,1,2,12,0,0,4,1
265,Australia,2010,2,1,2,13,0,0,4,1
266,Australia,2011,2,1,2,19,0,2,6,1
267,Australia,2012,1,1,3,17,0,2,7,2
268,Australia,2013,1,1,3,19,0,3,9,2
269,Australia,2014,1,1,3,14,0,4,9,2
270,Australia,2015,1,1,3,14,0,6,11,1
271,Australia,2016,1,1,3,17,0,7,13,2
272,Australia,2017,1,1,3,13,0,8,13,2
273,Australia,2018,1,1,3,17,0,12,16,2
274,Australia,2019,1,1,3,14,0,17,19,2
275,Austria,1965,0,0,0,16,0,0,0,0
276,Austria,1966,0,0,0,17,0,0,0,0
277,Austria,1967,0,0,0,17,0,0,0,0
278,Austria,1968,0,0,0,18,0,0,0,0
279,Austria,1969,0,0,0,16,0,0,0,0
280,Austria,1970,0,0,0,21,0,0,0,0
281,Austria,1971,0,0,0,16,0,0,0,0
282,Austria,1972,0,0,0,17,0,0,0,0
283,Austria,1973,0,0,0,19,0,0,0,0
284,Austria,1974,0,0,0,22,0,0,0,0
285,Austria,1975,0,0,0,23,0,0,0,0
286,Austria,1976,0,0,0,20,0,0,0,0
287,Austria,1977,0,0,0,24,0,0,0,0
288,Austria,1978,0,0,0,24,0,0,0,0
289,Austria,1979,0,0,0,28,0,0,0,0
290,Austria,1980,0,0,0,29,0,0,0,0
291,Austria,1981,0,0,0,30,0,0,0,0
292,Austria,1982,0,0,0,30,0,0,0,0
293,Austria,1983,0,0,0,30,0,0,0,0
294,Austria,1984,0,0,0,26,0,0,0,0
295,Austria,1985,0,0,0,30,0,0,0,0
296,Austria,1986,0,0,1,30,0,0,0,0
297,Austria,1987,0,0,0,35,0,0,0,0
298,Austria,1988,0,0,1,35,0,0,0,0
299,Austria,1989,0,0,1,35,0,0,0,0
300,Austria,1990,0,0,1,31,0,0,0,0
301,Austria,1991,0,0,1,31,0,0,0,0
302,Austria,1992,0,0,1,34,0,0,0,0
303,Austria,1993,0,0,1,36,0,0,0,0
304,Austria,1994,0,0,1,35,0,0,0,0
305,Austria,1995,0,0,1,37,0,0,0,0
306,Austria,1996,0,0,1,34,0,0,0,0
307,Austria,1997,0,0,1,36,0,0,0,0
308,Austria,1998,0,0,1,37,0,0,0,0
309,Austria,1999,0,0,1,40,0,0,0,0
310,Austria,2000,0,0,1,41,0,0,0,0
311,Austria,2001,0,0,1,40,0,0,0,0
312,Austria,2002,0,0,1,40,0,0,0,0
313,Austria,2003,0,0,1,33,0,0,0,0
314,Austria,2004,0,0,2,36,0,0,0,0
315,Austria,2005,0,0,2,37,0,0,1,0
316,Austria,2006,0,0,3,35,0,0,1,0
317,Austria,2007,0,0,4,37,0,0,2,0
318,Austria,2008,0,0,4,38,0,0,2,0
319,Austria,2009,0,0,4,40,0,0,1,0
320,Austria,2010,0,0,4,38,0,0,2,0
321,Austria,2011,0,0,4,34,0,0,1,0
322,Austria,2012,0,0,4,43,0,0,2,0
323,Austria,2013,0,0,4,42,0,0,3,0
324,Austria,2014,0,0,4,41,0,0,3,0
325,Austria,2015,0,0,4,37,0,0,4,0
326,Austria,2016,0,0,4,39,0,1,5,0
327,Austria,2017,0,0,4,38,0,1,6,0
328,Austria,2018,0,0,4,37,0,1,6,0
329,Austria,2019,0,0,4,40,0,1,7,0
330,Azerbaijan,1985,0,0,0,1,0,0,0,0
331,Azerbaijan,1986,0,0,0,0,0,0,0,0
332,Azerbaijan,1987,0,0,0,0,0,0,0,0
333,Azerbaijan,1988,0,0,0,0,0,0,0,0
334,Azerbaijan,1989,0,0,0,0,0,0,0,0
335,Azerbaijan,1990,0,0,0,1,0,0,0,0
336,Azerbaijan,1991,0,0,0,1,0,0,0,0
337,Azerbaijan,1992,0,0,0,1,0,0,0,0
338,Azerbaijan,1993,0,0,0,2,0,0,0,0
339,Azerbaijan,1994,0,0,0,1,0,0,0,0
340,Azerbaijan,1995,0,0,0,1,0,0,0,0
341,Azerbaijan,1996,0,0,0,1,0,0,0,0
342,Azerbaijan,1997,0,0,0,1,0,0,0,0
343,Azerbaijan,1998,0,0,0,1,0,0,0,0
344,Azerbaijan,1999,0,0,0,1,0,0,0,0
345,Azerbaijan,2000,0,0,0,1,0,0,0,0
346,Azerbaijan,2001,0,0,0,1,0,0,0,0
347,Azerbaijan,2002,0,0,0,2,0,0,0,0
348,Azerbaijan,2003,0,0,0,2,0,0,0,0
349,Azerbaijan,2004,0,0,0,2,0,0,0,0
350,Azerbaijan,2005,0,0,0,3,0,0,0,0
351,Azerbaijan,2006,0,0,0,2,0,0,0,0
352,Azerbaijan,2007,0,0,0,2,0,0,0,0
353,Azerbaijan,2008,0,0,0,2,0,0,0,0
354,Azerbaijan,2009,0,0,0,2,0,0,0,0
355,Azerbaijan,2010,0,0,0,3,0,0,0,0
356,Azerbaijan,2011,0,0,0,2,0,0,0,0
357,Azerbaijan,2012,0,0,0,1,0,0,0,0
358,Azerbaijan,2013,0,0,0,1,0,0,0,0
359,Azerbaijan,2014,0,0,0,1,0,0,0,0
360,Azerbaijan,2015,0,0,0,1,0,0,0,0
361,Azerbaijan,2016,0,0,0,1,0,0,0,0
362,Azerbaijan,2017,0,0,0,1,0,0,0,0
363,Azerbaijan,2018,0,0,0,1,0,0,0,0
364,Azerbaijan,2019,0,0,0,1,0,0,0,0
365,Bangladesh,1965,0,0,0,0,0,0,0,0
366,Bangladesh,1966,0,0,0,0,0,0,0,0
367,Bangladesh,1967,0,0,0,0,0,0,0,0
368,Bangladesh,1968,0,0,0,0,0,0,0,0
369,Bangladesh,1969,0,0,0,0,0,0,0,0
370,Bangladesh,1970,0,0,0,0,0,0,0,0
371,Bangladesh,1971,0,0,0,0,0,0,0,0
372,Bangladesh,1972,0,0,0,0,0,0,0,0
373,Bangladesh,1973,0,0,0,0,0,0,0,0
374,Bangladesh,1974,0,0,0,0,0,0,0,0
375,Bangladesh,1975,0,0,0,0,0,0,0,0
376,Bangladesh,1976,0,0,0,0,0,0,0,0
377,Bangladesh,1977,0,0,0,0,0,0,0,0
378,Bangladesh,1978,0,0,0,0,0,0,0,0
379,Bangladesh,1979,0,0,0,0,0,0,0,0
380,Bangladesh,1980,0,0,0,0,0,0,0,0
381,Bangladesh,1981,0,0,0,0,0,0,0,0
382,Bangladesh,1982,0,0,0,0,0,0,0,0
383,Bangladesh,1983,0,0,0,0,0,0,0,0
384,Bangladesh,1984,0,0,0,0,0,0,0,0
385,Bangladesh,1985,0,0,0,0,0,0,0,0
386,Bangladesh,1986,0,0,0,0,0,0,0,0
387,Bangladesh,1987,0,0,0,0,0,0,0,0
388,Bangladesh,1988,0,0,0,0,0,0,0,0
389,Bangladesh,1989,0,0,0,0,0,0,0,0
390,Bangladesh,1990,0,0,0,0,0,0,0,0
391,Bangladesh,1991,0,0,0,0,0,0,0,0
392,Bangladesh,1992,0,0,0,0,0,0,0,0
393,Bangladesh,1993,0,0,0,0,0,0,0,0
394,Bangladesh,1994,0,0,0,0,0,0,0,0
395,Bangladesh,1995,0,0,0,0,0,0,0,0
396,Bangladesh,1996,0,0,0,0,0,0,0,0
397,Bangladesh,1997,0,0,0,0,0,0,0,0
398,Bangladesh,1998,0,0,0,0,0,0,0,0
399,Bangladesh,1999,0,0,0,0,0,0,0,0
400,Bangladesh,2000,0,0,0,0,0,0,0,0
401,Bangladesh,2001,0,0,0,0,0,0,0,0
402,Bangladesh,2002,0,0,0,0,0,0,0,0
403,Bangladesh,2003,0,0,0,0,0,0,0,0
404,Bangladesh,2004,0,0,0,0,0,0,0,0
405,Bangladesh,2005,0,0,0,0,0,0,0,0
406,Bangladesh,2006,0,0,0,0,0,0,0,0
407,Bangladesh,2007,0,0,0,0,0,0,0,0
408,Bangladesh,2008,0,0,0,0,0,0,0,0
409,Bangladesh,2009,0,0,0,0,0,0,0,0
410,Bangladesh,2010,0,0,0,0,0,0,0,0
411,Bangladesh,2011,0,0,0,0,0,0,0,0
412,Bangladesh,2012,0,0,0,0,0,0,0,0
413,Bangladesh,2013,0,0,0,0,0,0,0,0
414,Bangladesh,2014,0,0,0,0,0,0,0,0
415,Bangladesh,2015,0,0,0,0,0,0,0,0
416,Bangladesh,2016,0,0,0,0,0,0,0,0
417,Bangladesh,2017,0,0,0,1,0,0,0,0
418,Bangladesh,2018,0,0,0,0,0,0,0,0
419,Bangladesh,2019,0,1,0,0,0,0,0,0
420,Belarus,1985,0,0,0,0,0,0,0,1
421,Belarus,1986,0,0,0,0,0,0,0,1
422,Belarus,1987,0,0,0,0,0,0,0,1
423,Belarus,1988,0,0,0,0,0,0,0,1
424,Belarus,1989,0,0,0,0,0,0,0,1
425,Belarus,1990,0,0,0,0,0,0,0,1
426,Belarus,1991,0,0,0,0,0,0,0,1
427,Belarus,1992,0,0,0,0,0,0,0,0
428,Belarus,1993,0,0,0,0,0,0,0,0
429,Belarus,1994,0,0,0,0,0,0,0,0
430,Belarus,1995,0,0,0,0,0,0,0,0
431,Belarus,1996,0,0,0,0,0,0,0,0
432,Belarus,1997,0,0,0,0,0,0,0,0
433,Belarus,1998,0,0,0,0,0,0,0,0
434,Belarus,1999,0,0,0,0,0,0,0,0
435,Belarus,2000,0,0,0,0,0,0,0,0
436,Belarus,2001,0,0,0,0,0,0,0,0
437,Belarus,2002,0,0,0,0,0,0,0,0
438,Belarus,2003,0,0,0,0,0,0,0,0
439,Belarus,2004,0,0,0,0,0,0,0,0
440,Belarus,2005,0,0,0,0,0,0,0,0
441,Belarus,2006,0,0,0,0,0,0,0,0
442,Belarus,2007,0,0,0,0,0,0,0,0
443,Belarus,2008,0,0,0,0,0,0,0,0
444,Belarus,2009,0,0,0,0,0,0,0,0
445,Belarus,2010,0,0,0,0,0,0,0,0
446,Belarus,2011,0,0,0,0,0,0,0,0
447,Belarus,2012,0,0,0,0,0,0,0,0
448,Belarus,2013,0,0,0,0,0,0,0,0
449,Belarus,2014,0,0,0,0,0,0,0,0
450,Belarus,2015,0,0,0,0,0,0,0,0
451,Belarus,2016,0,0,0,0,0,0,0,0
452,Belarus,2017,0,0,0,0,0,0,0,0
453,Belarus,2018,0,0,0,0,0,0,0,0
454,Belarus,2019,0,0,0,0,0,0,0,0
455,Belgium,1965,0,0,0,0,0,0,0,0
456,Belgium,1966,0,0,0,0,0,0,0,0
457,Belgium,1967,0,0,0,0,0,0,0,0
458,Belgium,1968,0,0,0,0,0,0,0,0
459,Belgium,1969,0,0,0,0,0,0,0,1
460,Belgium,1970,0,0,0,0,0,0,0,1
461,Belgium,1971,0,0,0,0,0,0,0,1
462,Belgium,1972,0,0,0,0,0,0,0,1
463,Belgium,1973,0,0,0,0,0,0,0,1
464,Belgium,1974,0,0,0,0,0,0,0,1
465,Belgium,1975,0,0,0,0,6,0,0,1
466,Belgium,1976,0,0,0,0,10,0,0,1
467,Belgium,1977,0,0,0,0,11,0,0,1
468,Belgium,1978,0,0,0,0,12,0,0,1
469,Belgium,1979,0,0,0,0,11,0,0,1
470,Belgium,1980,0,0,0,0,12,0,0,1
471,Belgium,1981,0,0,0,0,12,0,0,1
472,Belgium,1982,0,0,0,0,15,0,0,0
473,Belgium,1983,0,0,0,0,24,0,0,0
474,Belgium,1984,0,0,0,0,27,0,0,0
475,Belgium,1985,0,0,0,0,34,0,0,0
476,Belgium,1986,0,0,0,0,39,0,0,0
477,Belgium,1987,0,0,0,0,41,0,0,0
478,Belgium,1988,0,0,0,0,43,0,0,0
479,Belgium,1989,0,0,0,0,41,0,0,0
480,Belgium,1990,0,0,0,0,42,0,0,1
481,Belgium,1991,0,0,0,0,42,0,0,1
482,Belgium,1992,0,0,0,0,43,0,0,1
483,Belgium,1993,0,0,0,0,41,0,0,1
484,Belgium,1994,0,0,0,0,40,0,0,1
485,Belgium,1995,0,0,0,0,41,0,0,1
486,Belgium,1996,0,0,0,0,43,0,0,1
487,Belgium,1997,0,0,0,0,47,0,0,1
488,Belgium,1998,0,0,0,0,46,0,0,1
489,Belgium,1999,0,0,0,0,49,0,0,1
490,Belgium,2000,0,0,0,0,48,0,0,1
491,Belgium,2001,0,0,0,0,46,0,0,1
492,Belgium,2002,0,0,0,0,47,0,0,1
493,Belgium,2003,0,0,0,0,47,0,0,1
494,Belgium,2004,0,0,1,0,47,0,0,1
495,Belgium,2005,0,0,1,0,47,0,0,1
496,Belgium,2006,0,0,2,0,46,0,0,1
497,Belgium,2007,0,0,2,0,48,0,0,1
498,Belgium,2008,0,0,3,0,45,0,0,1
499,Belgium,2009,0,0,3,0,47,0,0,1
500,Belgium,2010,0,0,4,0,47,0,1,1
501,Belgium,2011,0,0,4,0,48,1,2,1
502,Belgium,2012,0,0,5,0,40,2,2,1
503,Belgium,2013,0,0,4,0,42,2,3,1
504,Belgium,2014,0,0,4,0,33,2,4,1
505,Belgium,2015,0,0,5,0,26,3,5,1
506,Belgium,2016,0,0,5,0,43,3,5,1
507,Belgium,2017,0,0,5,0,42,3,6,1
508,Belgium,2018,0,0,5,0,28,3,7,1
509,Belgium,2019,0,0,5,0,43,3,9,1
510,Brazil,1965,0,0,0,25,0,0,0,0
511,Brazil,1966,0,0,0,27,0,0,0,0
512,Brazil,1967,0,0,0,29,0,0,0,0
513,Brazil,1968,0,0,0,30,0,0,0,0
514,Brazil,1969,0,0,0,32,0,0,0,0
515,Brazil,1970,0,0,0,39,0,0,0,1
516,Brazil,1971,0,0,0,43,0,0,0,1
517,Brazil,1972,0,0,0,50,0,0,0,1
518,Brazil,1973,0,0,0,57,0,0,0,1
519,Brazil,1974,0,0,0,65,0,0,0,1
520,Brazil,1975,0,0,0,72,0,0,0,1
